h,no,va,vo,g
LS,14,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 66, 'ruido': 31, 'int_luminosa': 549}",0.57715
LS,15,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 46, 'ruido': 42, 'int_luminosa': 674}",0.5744
LS,16,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 59, 'ruido': 59, 'int_luminosa': 654}",0.57585
LS,17,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 59, 'ruido': 49, 'int_luminosa': 709}",0.5733
LS,18,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 63, 'ruido': 55, 'int_luminosa': 645}",0.57395
LS,19,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 45, 'ruido': 48, 'int_luminosa': 659}",0.57695
LS,20,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 45, 'ruido': 63, 'int_luminosa': 648}",0.57455
LS,21,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 42, 'ruido': 57, 'int_luminosa': 663}",0.5769
LS,22,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 43, 'ruido': 41, 'int_luminosa': 491}",0.5724
LS,23,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 54, 'ruido': 36, 'int_luminosa': 656}",0.5763
LS,24,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 59, 'ruido': 39, 'int_luminosa': 653}",0.57565
LS,25,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 63, 'ruido': 62, 'int_luminosa': 662}",0.57715
LS,26,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 59, 'ruido': 33, 'int_luminosa': 673}",0.57465
LS,27,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 46, 'ruido': 47, 'int_luminosa': 375}",0.56435
