h,no,va,vo,g
GA,9,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 31, 'int_luminosa': 761}",0.59335
GA,10,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 63, 'int_luminosa': 399}",0.59335
GA,11,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 42, 'int_luminosa': 644}",0.59335
GA,12,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 63, 'int_luminosa': 570}",0.59335
GA,13,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 57, 'int_luminosa': 711}",0.59335
GA,14,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 46, 'int_luminosa': 693}",0.59335
GA,15,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 35, 'int_luminosa': 366}",0.59335
GA,16,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 63, 'int_luminosa': 688}",0.59335
GA,17,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 43, 'int_luminosa': 446}",0.59335
GA,18,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 37, 'int_luminosa': 335}",0.59335
GA,19,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 40, 'int_luminosa': 583}",0.59335
GA,20,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 47, 'int_luminosa': 962}",0.59335
GA,21,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 52, 'int_luminosa': 513}",0.59335
