h,no,va,vo,g
AL,13,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 62, 'ruido': 44, 'int_luminosa': 665}",0.57645
AL,14,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 48, 'ruido': 53, 'int_luminosa': 654}",0.57585
AL,15,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 40, 'ruido': 31, 'int_luminosa': 659}",0.57695
AL,16,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 52, 'ruido': 51, 'int_luminosa': 663}",0.5769
AL,17,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 55, 'ruido': 33, 'int_luminosa': 660}",0.57715
AL,18,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 68, 'ruido': 51, 'int_luminosa': 687}",0.57145
AL,19,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 47, 'ruido': 40, 'int_luminosa': 664}",0.5767
AL,20,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 47, 'ruido': 64, 'int_luminosa': 654}",0.57585
AL,21,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 46, 'ruido': 56, 'int_luminosa': 656}",0.5763
AL,22,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 46, 'ruido': 48, 'int_luminosa': 678}",0.5735
AL,23,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 63, 'ruido': 59, 'int_luminosa': 664}",0.57665
AL,24,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 55, 'ruido': 64, 'int_luminosa': 644}",0.5737
AL,25,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 68, 'ruido': 34, 'int_luminosa': 648}",0.57455
AL,26,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 68, 'ruido': 46, 'int_luminosa': 671}",0.57505
AL,27,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 54, 'ruido': 62, 'int_luminosa': 661}",0.5774
AL,28,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 70, 'ruido': 55, 'int_luminosa': 666}",0.5762
AL,29,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 59, 'ruido': 54, 'int_luminosa': 649}",0.57475
AL,30,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 62, 'ruido': 34, 'int_luminosa': 670}",0.5753
AL,1,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 44, 'ruido': 64, 'int_luminosa': 638}",0.58665
AL,2,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 31, 'int_luminosa': 327}",0.59335
AL,3,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 36, 'int_luminosa': 869}",0.59335
AL,4,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 43, 'ruido': 57, 'int_luminosa': 931}",0.59
AL,5,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 44, 'ruido': 48, 'int_luminosa': 468}",0.58665
AL,6,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 43, 'ruido': 37, 'int_luminosa': 312}",0.59
AL,7,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 40, 'int_luminosa': 458}",0.59335
AL,8,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 55, 'int_luminosa': 689}",0.59335
AL,9,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 43, 'ruido': 62, 'int_luminosa': 968}",0.59
AL,10,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 54, 'int_luminosa': 514}",0.59335
AL,11,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 43, 'ruido': 65, 'int_luminosa': 487}",0.59
AL,12,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 65, 'int_luminosa': 540}",0.5933
AL,13,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 43, 'ruido': 30, 'int_luminosa': 561}",0.59
AL,14,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 43, 'ruido': 41, 'int_luminosa': 626}",0.59
AL,15,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 33, 'int_luminosa': 953}",0.59335
AL,16,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 58, 'int_luminosa': 810}",0.5933
AL,17,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 46, 'ruido': 41, 'int_luminosa': 324}",0.58
AL,18,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 44, 'ruido': 49, 'int_luminosa': 591}",0.5867
AL,19,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 43, 'ruido': 62, 'int_luminosa': 974}",0.59
AL,20,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 49, 'int_luminosa': 817}",0.59335
