h,no,va,vo,g
TS,11,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 42, 'ruido': 38, 'int_luminosa': 654}",0.57585
TS,12,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 40, 'ruido': 37, 'int_luminosa': 663}",0.5769
TS,13,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 64, 'ruido': 32, 'int_luminosa': 657}",0.5765
TS,14,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 47, 'ruido': 50, 'int_luminosa': 664}",0.5767
TS,15,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 40, 'ruido': 39, 'int_luminosa': 642}",0.5733
TS,16,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 51, 'ruido': 64, 'int_luminosa': 663}",0.5769
TS,17,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 64, 'ruido': 30, 'int_luminosa': 660}",0.57715
TS,18,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 55, 'ruido': 49, 'int_luminosa': 661}",0.57735
TS,19,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 44, 'ruido': 33, 'int_luminosa': 670}",0.5753
TS,20,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 58, 'ruido': 33, 'int_luminosa': 665}",0.57645
TS,21,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 55, 'ruido': 58, 'int_luminosa': 663}",0.5769
TS,22,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 47, 'ruido': 63, 'int_luminosa': 658}",0.57675
TS,23,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 47, 'ruido': 44, 'int_luminosa': 668}",0.57575
TS,24,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 59, 'ruido': 30, 'int_luminosa': 655}",0.5761
TS,25,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 70, 'ruido': 42, 'int_luminosa': 666}",0.57625
TS,26,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 53, 'ruido': 51, 'int_luminosa': 657}",0.5765
TS,27,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 67, 'ruido': 60, 'int_luminosa': 656}",0.5763
TS,28,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 62, 'ruido': 48, 'int_luminosa': 663}",0.5769
TS,29,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 54, 'ruido': 59, 'int_luminosa': 669}",0.57555
TS,30,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 42, 'ruido': 45, 'int_luminosa': 669}",0.57555
TS,1,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 43, 'ruido': 36, 'int_luminosa': 528}",0.59
TS,2,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 60, 'int_luminosa': 921}",0.59335
TS,3,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 46, 'int_luminosa': 556}",0.59335
TS,4,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 51, 'int_luminosa': 675}",0.59335
TS,5,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 54, 'int_luminosa': 826}",0.5933
TS,6,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 38, 'int_luminosa': 711}",0.59335
TS,7,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 47, 'int_luminosa': 941}",0.59335
TS,8,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 45, 'int_luminosa': 608}",0.59335
TS,9,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 30, 'int_luminosa': 991}",0.59335
TS,10,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 39, 'int_luminosa': 779}",0.5933
TS,11,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 31, 'int_luminosa': 348}",0.59335
TS,12,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 65, 'int_luminosa': 842}",0.59335
TS,13,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 56, 'int_luminosa': 650}",0.59335
TS,14,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 43, 'ruido': 40, 'int_luminosa': 649}",0.59
TS,15,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 43, 'int_luminosa': 527}",0.59335
TS,16,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 47, 'int_luminosa': 320}",0.59335
TS,17,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 60, 'int_luminosa': 714}",0.59335
TS,18,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 51, 'int_luminosa': 497}",0.59335
TS,19,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 43, 'ruido': 43, 'int_luminosa': 743}",0.59
TS,20,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 43, 'ruido': 56, 'int_luminosa': 911}",0.59
TS,21,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 46, 'int_luminosa': 811}",0.59335
TS,22,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 43, 'ruido': 32, 'int_luminosa': 361}",0.59
TS,23,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 56, 'int_luminosa': 426}",0.59335
TS,24,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 52, 'int_luminosa': 956}",0.59335
TS,25,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 34, 'int_luminosa': 696}",0.59335
TS,26,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 41, 'int_luminosa': 838}",0.59335
TS,27,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 59, 'int_luminosa': 685}",0.59335
TS,28,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 36, 'int_luminosa': 550}",0.59335
TS,29,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 32, 'int_luminosa': 361}",0.59335
TS,30,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 43, 'ruido': 52, 'int_luminosa': 683}",0.59
TS,1,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 51, 'ruido': 57, 'int_luminosa': 754}",0.62635
TS,2,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 44, 'int_luminosa': 738}",0.64135
TS,3,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 55, 'ruido': 35, 'int_luminosa': 753}",0.6304
